modulo,codigo_variable,descripcion,tipo_dato
D - Características y composición del hogar,DIRECTORIO,DIRECTORIO,NUMBER
D - Características y composición del hogar,SECUENCIA_ENCUESTA,Número de la persona dentro del hogar,NUMBER
D - Características y composición del hogar,SECUENCIA_P,Número del Hogar dentro de la vivienda,NUMBER
D - Características y composición del hogar,ORDEN,Número de la persona dentro del hogar,NUMBER
D - Características y composición del hogar,FEX_C,Factor de expansión,NUMBER
D - Características y composición del hogar,P6016,Número de orden de la persona que proporciona la información:,NUMBER
D - Características y composición del hogar,P1894,1. Tipo de documento de identidad,NUMBER
D - Características y composición del hogar,P6020,2. Sexo al nacer:,NUMBER
D - Características y composición del hogar,P6034,3. ¿Cuál es la fecha de nacimiento de ...?,NUMBER
D - Características y composición del hogar,P6040,4. ¿Cuántos años cumplidos tiene ...?,NUMBER
D - Características y composición del hogar,P6051,5. ¿Cuál es el parentesco de ... con el jefe o la jefa de este hogar?,NUMBER
D - Características y composición del hogar,P5502,6. Actualmente ...:,NUMBER
D - Características y composición del hogar,P6071,7. El (la) cónyuge de ... ¿Vive en este hogar?,NUMBER
D - Características y composición del hogar,P6071S1,No. de orden,NUMBER
D - Características y composición del hogar,P756,8. ¿Dónde nació ________?,NUMBER
D - Características y composición del hogar,P756S1,Departamento,NUMBER
D - Características y composición del hogar,P756S2,Municipio,NUMBER
D - Características y composición del hogar,P756S3,En otro país,NUMBER
D - Características y composición del hogar,P3510,8A. ¿Qué nacionalidad tiene?,NUMBER
D - Características y composición del hogar,P3510S1,País o países de nacionalidad (además de colombiana),NUMBER
D - Características y composición del hogar,P3510S1A1,1. Estadounidense,NUMBER
D - Características y composición del hogar,P3510S1A2,2. Española,NUMBER
D - Características y composición del hogar,P3510S1A3,3. Venezolana,NUMBER
D - Características y composición del hogar,P3510S1A4,4. Ecuatoriana,NUMBER
D - Características y composición del hogar,P3510S1A5,5. Panameña,NUMBER
D - Características y composición del hogar,P3510S1A6,6. Peruana,NUMBER
